,Name,Rating,Review,Salaries,Jobs
500,Lucas-TVS,3.9,1.8k,5.8k,89
501,Aditya Birla Health Insurance Co,3.8,1.8k,7k,114
502,Altruist Technologies,3.1,1.8k,8k,151
503,Spinny,3.7,1.8k,6.9k,194
504,Manipal Hospitals,4.0,1.8k,6.2k,121
505,Motherson Automotive Technologies and Engineering,3.8,1.8k,7.2k,143
506,Iris Software,3.8,1.8k,7.4k,201
507,Adecco Group,3.7,1.8k,6.9k,112
508,Safexpress,3.9,1.8k,5.5k,119
509,Angel One,3.7,1.8k,7.3k,156
510,Globiva,3.1,1.8k,5k,127
511,G R Infraprojects,4.1,1.8k,5.3k,154
512,KENT RO Systems,3.8,1.8k,4.5k,94
513,K12 Techno Services,3.6,1.8k,5k,364
514,Stellar Migration,1.3,1.8k,--,2
515,V-Guard Industries,4.3,1.8k,4.4k,87
516,CMS Infosystems,3.5,1.8k,4.5k,70
517,NTPC,4.2,1.8k,4.2k,172
518,Haier Appliances India,4.0,1.8k,6.7k,158
519,TVS Sundram Fasteners,3.6,1.8k,6.5k,87
520,Hindustan Aeronautics,4.2,1.8k,4.2k,82
521,DHL Supply Chain,4.2,1.8k,5.9k,105
522,Thomson Reuters,4.0,1.8k,10.2k,129
523,HTC Global Services,3.4,1.8k,12.5k,156
524,Aragen Life Sciences,3.9,1.8k,6.2k,119
525,Trent,3.9,1.8k,4.4k,98
526,AXA Business Services,3.9,1.8k,7.2k,100
527,Torrent Power,3.8,1.7k,7.5k,156
528,Infinx,3.8,1.7k,5k,205
